Title,Description,Category,PriorityScore
Pothole reported in residential area,pothole in residential area not urgent,Roads & Infra,0.167
Sinkhole reported at hospital,sinkhole at hospital routine maintenance needed,Roads & Infra,0.227
Garbage pile reported at junction,garbage pile at junction not urgent,Waste & Sanitation,0.252
Litter reported at junction,litter at junction low impact problem,Waste & Sanitation,0.295
Municipal office issue reported at junction,municipal office issue at junction no major inconvenience,Civic Services,0.277
Overflowing bin reported at bus stop,overflowing bin at bus stop can be fixed later,Waste & Sanitation,0.183
Drain overflow reported at hospital,drain overflow at hospital minor issue observed,Water & Drainage,0.214
Building collapse reported near market,building collapse near market routine maintenance needed,Public Safety,0.179
Trash heap reported in public park,trash heap in public park minor issue observed,Waste & Sanitation,0.392
Smoke reported in public park,smoke in public park can be fixed later,Environment,0.349
Medical waste reported near office area,medical waste near office area not urgent,Healthcare,0.311
Overflowing bin reported in residential area,overflowing bin in residential area minor issue observed,Waste & Sanitation,0.357
Broken pavement reported in residential area,broken pavement in residential area no major inconvenience,Roads & Infra,0.291
Power line reported near market,power line near market can be fixed later,Public Safety,0.163
Traffic congestion reported near office area,traffic congestion near office area low impact problem,Traffic & Transport,0.151
Pipe burst reported on highway,pipe burst on highway no major inconvenience,Water & Drainage,0.181
Signboard reported near market,signboard near market minor issue observed,Civic Services,0.169
Waste accumulation reported at bus stop,waste accumulation at bus stop can be fixed later,Waste & Sanitation,0.12
Medical waste reported at junction,medical waste at junction low impact problem,Healthcare,0.25
Playground equipment reported in residential area,playground equipment in residential area not urgent,Public Spaces,0.174
Facility damage reported in residential area,facility damage in residential area low impact problem,Civic Services,0.275
Clinic issue reported near market,clinic issue near market not urgent,Healthcare,0.399
Dark street reported on highway,dark street on highway minor issue observed,Street Lighting,0.327
Road crack reported on main road,road crack on main road low impact problem,Roads & Infra,0.227
Broken pavement reported at bus stop,broken pavement at bus stop routine maintenance needed,Roads & Infra,0.399
Street sign reported in public park,street sign in public park minor issue observed,Civic Services,0.304
Sinkhole reported in residential area,sinkhole in residential area low impact problem,Roads & Infra,0.202
Accident reported on main road,accident on main road no major inconvenience,Traffic & Transport,0.101
Collision reported on main road,collision on main road routine maintenance needed,Traffic & Transport,0.374
Collision reported near office area,collision near office area not urgent,Traffic & Transport,0.146
Dark street reported in public park,dark street in public park minor issue observed,Street Lighting,0.28
Park bench reported at hospital,park bench at hospital can be fixed later,Public Spaces,0.364
Blocked road reported near school,blocked road near school not urgent,Traffic & Transport,0.363
Pothole reported on highway,pothole on highway minor issue observed,Roads & Infra,0.393
Signboard reported on main road,signboard on main road low impact problem,Civic Services,0.243
Signboard reported in residential area,signboard in residential area routine maintenance needed,Civic Services,0.362
Air pollution reported in public park,air pollution in public park low impact problem,Environment,0.307
Accident reported near market,accident near market no major inconvenience,Traffic & Transport,0.37
Park bench reported at junction,park bench at junction not urgent,Public Spaces,0.119
Litter reported in public park,litter in public park not urgent,Waste & Sanitation,0.277
Garbage pile reported near school,garbage pile near school not urgent,Waste & Sanitation,0.12
Waste accumulation reported at hospital,waste accumulation at hospital routine maintenance needed,Waste & Sanitation,0.171
Playground equipment reported in public park,playground equipment in public park not urgent,Public Spaces,0.317
Health hazard reported on highway,health hazard on highway not urgent,Healthcare,0.335
Air pollution reported at hospital,air pollution at hospital minor issue observed,Environment,0.298
Fire reported at bus stop,fire at bus stop no major inconvenience,Public Safety,0.359
Garbage pile reported near school,garbage pile near school no major inconvenience,Waste & Sanitation,0.318
Road crack reported at junction,road crack at junction not urgent,Roads & Infra,0.261
Flickering light reported on main road,flickering light on main road can be fixed later,Street Lighting,0.239
Broken pavement reported in public park,broken pavement in public park minor issue observed,Roads & Infra,0.115
Public toilet reported at hospital,public toilet at hospital not urgent,Civic Services,0.15
Public park reported at junction,public park at junction no major inconvenience,Public Spaces,0.371
Flickering light reported near school,flickering light near school no major inconvenience,Street Lighting,0.18
Footpath reported at bus stop,footpath at bus stop low impact problem,Public Spaces,0.387
Municipal office issue reported on main road,municipal office issue on main road not urgent,Civic Services,0.189
Litter reported in public park,litter in public park minor issue observed,Waste & Sanitation,0.324
Garbage pile reported near office area,garbage pile near office area no major inconvenience,Waste & Sanitation,0.251
Signboard reported near school,signboard near school routine maintenance needed,Civic Services,0.124
Streetlight reported near office area,streetlight near office area minor issue observed,Street Lighting,0.303
Waterlogging reported at hospital,waterlogging at hospital routine maintenance needed,Water & Drainage,0.174
Hospital equipment reported near office area,hospital equipment near office area minor issue observed,Healthcare,0.226
Health hazard reported in public park,health hazard in public park can be fixed later,Healthcare,0.38
Drain overflow reported at junction,drain overflow at junction can be fixed later,Water & Drainage,0.219
Accident reported near market,accident near market minor issue observed,Traffic & Transport,0.103
Health hazard reported at hospital,health hazard at hospital minor issue observed,Healthcare,0.261
Street sign reported on main road,street sign on main road can be fixed later,Civic Services,0.364
Drain overflow reported in residential area,drain overflow in residential area not urgent,Water & Drainage,0.231
Street sign reported near office area,street sign near office area low impact problem,Civic Services,0.259
Street sign reported at hospital,street sign at hospital not urgent,Civic Services,0.179
Sinkhole reported on main road,sinkhole on main road can be fixed later,Roads & Infra,0.185
Drain overflow reported at junction,drain overflow at junction low impact problem,Water & Drainage,0.29
Collision reported on highway,collision on highway can be fixed later,Traffic & Transport,0.372
Garbage pile reported at bus stop,garbage pile at bus stop can be fixed later,Waste & Sanitation,0.113
Building collapse reported on main road,building collapse on main road low impact problem,Public Safety,0.394
Flickering light reported in public park,flickering light in public park low impact problem,Street Lighting,0.228
Garbage pile reported at hospital,garbage pile at hospital low impact problem,Waste & Sanitation,0.371
Public toilet reported near market,public toilet near market routine maintenance needed,Civic Services,0.266
Air pollution reported near school,air pollution near school can be fixed later,Environment,0.209
Waste accumulation reported at junction,waste accumulation at junction low impact problem,Waste & Sanitation,0.175
Damaged road reported in public park,damaged road in public park no major inconvenience,Roads & Infra,0.392
Lamp post reported on main road,lamp post on main road not urgent,Street Lighting,0.364
Overflowing bin reported near market,overflowing bin near market no major inconvenience,Waste & Sanitation,0.341
Drain overflow reported on main road,drain overflow on main road low impact problem,Water & Drainage,0.132
Trash heap reported at junction,trash heap at junction not urgent,Waste & Sanitation,0.345
Footpath reported in residential area,footpath in residential area not urgent,Public Spaces,0.167
Waterlogging reported near market,waterlogging near market can be fixed later,Water & Drainage,0.359
Vehicle jam reported in public park,vehicle jam in public park no major inconvenience,Traffic & Transport,0.304
Street sign reported near school,street sign near school minor issue observed,Civic Services,0.363
Blocked road reported near office area,blocked road near office area can be fixed later,Traffic & Transport,0.111
Clinic issue reported near market,clinic issue near market low impact problem,Healthcare,0.336
Chemical spill reported in public park,chemical spill in public park minor issue observed,Environment,0.216
Ambulance delay reported in residential area,ambulance delay in residential area minor issue observed,Healthcare,0.313
Litter reported in public park,litter in public park low impact problem,Waste & Sanitation,0.316
Drain overflow reported at bus stop,drain overflow at bus stop minor issue observed,Water & Drainage,0.385
Gas leak reported near market,gas leak near market low impact problem,Public Safety,0.354
Collision reported in residential area,collision in residential area low impact problem,Traffic & Transport,0.223
Burning waste reported in public park,burning waste in public park not urgent,Environment,0.158
Air pollution reported near office area,air pollution near office area routine maintenance needed,Environment,0.19
Public toilet reported in residential area,public toilet in residential area can be fixed later,Civic Services,0.163
Health hazard reported near market,health hazard near market no major inconvenience,Healthcare,0.233
Sewage overflow reported on highway,sewage overflow on highway low impact problem,Water & Drainage,0.151
Damaged road reported in public park,damaged road in public park low impact problem,Roads & Infra,0.29
Electric wire reported at junction,electric wire at junction low impact problem,Public Safety,0.193
Pipe burst reported near school,pipe burst near school minor issue observed,Water & Drainage,0.173
Bus stop reported at hospital,bus stop at hospital no major inconvenience,Public Spaces,0.224
Ambulance delay reported at bus stop,ambulance delay at bus stop no major inconvenience,Healthcare,0.22
Streetlight reported at hospital,streetlight at hospital no major inconvenience,Street Lighting,0.166
Municipal office issue reported near school,municipal office issue near school routine maintenance needed,Civic Services,0.175
Broken pavement reported on main road,broken pavement on main road no major inconvenience,Roads & Infra,0.3
Facility damage reported near market,facility damage near market no major inconvenience,Civic Services,0.284
Municipal office issue reported in public park,municipal office issue in public park no major inconvenience,Civic Services,0.369
Public park reported in residential area,public park in residential area not urgent,Public Spaces,0.352
Collision reported on highway,collision on highway low impact problem,Traffic & Transport,0.172
Park bench reported in residential area,park bench in residential area not urgent,Public Spaces,0.182
Gas leak reported at hospital,gas leak at hospital not urgent,Public Safety,0.145
Air pollution reported at junction,air pollution at junction minor issue observed,Environment,0.224
Gas leak reported on highway,gas leak on highway no major inconvenience,Public Safety,0.119
Dust reported near office area,dust near office area low impact problem,Environment,0.106
Clinic issue reported on highway,clinic issue on highway minor issue observed,Healthcare,0.383
Accident reported at bus stop,accident at bus stop routine maintenance needed,Traffic & Transport,0.324
Facility damage reported at junction,facility damage at junction no major inconvenience,Civic Services,0.166
Dust reported near school,dust near school no major inconvenience,Environment,0.201
Air pollution reported on highway,air pollution on highway not urgent,Environment,0.394
Public toilet reported at bus stop,public toilet at bus stop routine maintenance needed,Civic Services,0.269
Garbage pile reported at bus stop,garbage pile at bus stop not urgent,Waste & Sanitation,0.36
Streetlight reported in residential area,streetlight in residential area no major inconvenience,Street Lighting,0.198
Footpath reported near market,footpath near market no major inconvenience,Public Spaces,0.183
Burning waste reported at hospital,burning waste at hospital no major inconvenience,Environment,0.106
Public toilet reported near market,public toilet near market not urgent,Civic Services,0.295
Garbage pile reported at junction,garbage pile at junction not urgent,Waste & Sanitation,0.352
Ambulance delay reported at junction,ambulance delay at junction not urgent,Healthcare,0.242
Sinkhole reported at junction,sinkhole at junction no major inconvenience,Roads & Infra,0.31
Power line reported near office area,power line near office area routine maintenance needed,Public Safety,0.389
Road crack reported in residential area,road crack in residential area minor issue observed,Roads & Infra,0.274
Collision reported at bus stop,collision at bus stop no major inconvenience,Traffic & Transport,0.382
Water leakage reported near office area,water leakage near office area low impact problem,Water & Drainage,0.349
Water leakage reported in residential area,water leakage in residential area low impact problem,Water & Drainage,0.28
Sinkhole reported near school,sinkhole near school can be fixed later,Roads & Infra,0.26
Electric wire reported in public park,electric wire in public park low impact problem,Public Safety,0.202
Dust reported at hospital,dust at hospital no major inconvenience,Environment,0.388
Playground equipment reported at bus stop,playground equipment at bus stop not urgent,Public Spaces,0.32
Collision reported in public park,collision in public park no major inconvenience,Traffic & Transport,0.239
Medical waste reported near market,medical waste near market not urgent,Healthcare,0.349
Damaged road reported on highway,damaged road on highway not urgent,Roads & Infra,0.325
Health hazard reported at bus stop,health hazard at bus stop can be fixed later,Healthcare,0.109
Power line reported on highway,power line on highway not urgent,Public Safety,0.206
Vehicle jam reported in residential area,vehicle jam in residential area routine maintenance needed,Traffic & Transport,0.31
Collision reported near school,collision near school routine maintenance needed,Traffic & Transport,0.384
Road crack reported at bus stop,road crack at bus stop no major inconvenience,Roads & Infra,0.267
Waterlogging reported on highway,waterlogging on highway no major inconvenience,Water & Drainage,0.338
Damaged road reported at junction,damaged road at junction no major inconvenience,Roads & Infra,0.308
Collision reported near market,collision near market no major inconvenience,Traffic & Transport,0.266
Fire reported in public park,fire in public park can be fixed later,Public Safety,0.206
Footpath reported in residential area,footpath in residential area can be fixed later,Public Spaces,0.169
Drain overflow reported at hospital,drain overflow at hospital low impact problem,Water & Drainage,0.261
Lamp post reported at junction,lamp post at junction low impact problem,Street Lighting,0.245
Health hazard reported near office area,health hazard near office area can be fixed later,Healthcare,0.394
Drain overflow reported at junction,drain overflow at junction can be fixed later,Water & Drainage,0.154
Litter reported on main road,litter on main road can be fixed later,Waste & Sanitation,0.114
Litter reported in residential area,litter in residential area low impact problem,Waste & Sanitation,0.383
Park bench reported near school,park bench near school routine maintenance needed,Public Spaces,0.185
Public park reported near market,public park near market not urgent,Public Spaces,0.39
Accident reported at hospital,accident at hospital minor issue observed,Traffic & Transport,0.22
Sinkhole reported near school,sinkhole near school not urgent,Roads & Infra,0.145
Medical waste reported at hospital,medical waste at hospital not urgent,Healthcare,0.136
Chemical spill reported near office area,chemical spill near office area routine maintenance needed,Environment,0.168
Municipal office issue reported on highway,municipal office issue on highway no major inconvenience,Civic Services,0.189
Clinic issue reported in residential area,clinic issue in residential area routine maintenance needed,Healthcare,0.286
Hospital equipment reported at junction,hospital equipment at junction low impact problem,Healthcare,0.163
Road crack reported at junction,road crack at junction not urgent,Roads & Infra,0.266
Streetlight reported at bus stop,streetlight at bus stop no major inconvenience,Street Lighting,0.307
Footpath reported near school,footpath near school not urgent,Public Spaces,0.186
Accident reported at hospital,accident at hospital low impact problem,Traffic & Transport,0.17
Collision reported at junction,collision at junction no major inconvenience,Traffic & Transport,0.134
Pipe burst reported in residential area,pipe burst in residential area not urgent,Water & Drainage,0.121
Lighting system reported near office area,lighting system near office area low impact problem,Street Lighting,0.347
Accident reported at hospital,accident at hospital no major inconvenience,Traffic & Transport,0.307
Burning waste reported in public park,burning waste in public park routine maintenance needed,Environment,0.248
Sinkhole reported near school,sinkhole near school no major inconvenience,Roads & Infra,0.32
Medical waste reported near school,medical waste near school minor issue observed,Healthcare,0.169
Health hazard reported near school,health hazard near school low impact problem,Healthcare,0.346
Hospital equipment reported on main road,hospital equipment on main road no major inconvenience,Healthcare,0.256
Footpath reported on main road,footpath on main road routine maintenance needed,Public Spaces,0.231
Park bench reported on highway,park bench on highway can be fixed later,Public Spaces,0.223
Explosion risk reported at hospital,explosion risk at hospital not urgent,Public Safety,0.199
Footpath reported at bus stop,footpath at bus stop routine maintenance needed,Public Spaces,0.111
Damaged road reported in residential area,damaged road in residential area can be fixed later,Roads & Infra,0.135
Chemical spill reported near school,chemical spill near school low impact problem,Environment,0.361
Public park reported near school,public park near school not urgent,Public Spaces,0.256
Clinic issue reported on highway,clinic issue on highway minor issue observed,Healthcare,0.161
Signboard reported in residential area,signboard in residential area no major inconvenience,Civic Services,0.364
Park bench reported near school,park bench near school low impact problem,Public Spaces,0.283
Pipe burst reported in residential area,pipe burst in residential area routine maintenance needed,Water & Drainage,0.104
